address,street,endpoint
"128 Albion Court, Somerville MA 02145",Albion Court,start
"134 Albion Court, Somerville MA 02145",Albion Court,end
"8 Albion Place, Somerville MA 02145",Albion Place,start
"17 Albion Place, Somerville MA 02145",Albion Place,end
"94 Albion Street, Somerville MA 02145",Albion Street,start
"179 Albion Street, Somerville MA 02145",Albion Street,end
"100 Albion Terrace, Somerville MA 02145",Albion Terrace,start
"104 Albion Terrace, Somerville MA 02145",Albion Terrace,end
"12 Alpine Street, Somerville MA 02144",Alpine Street,start
"102 Alpine Street, Somerville MA 02144",Alpine Street,end
"2 Appleton Street, Somerville MA 02144",Appleton Street,start
"34 Appleton Street, Somerville MA 02144",Appleton Street,end
"7 Bay State Avenue, Somerville MA 02144",Bay State Avenue,start
"69 Bay State Avenue, Somerville MA 02144",Bay State Avenue,end
"7 Bellevue Terrace, Somerville MA 02144",Bellevue Terrace,start
"10 Bellevue Terrace, Somerville MA 02144",Bellevue Terrace,end
"1 Boston Avenue, Somerville MA 02144",Boston Avenue,start
"158 Boston Avenue, Somerville MA 02144",Boston Avenue,end
"87 Bristol Road, Somerville MA 02145",Bristol Road,start
"108 Bristol Road, Somerville MA 02145",Bristol Road,end
"585 Broadway, Somerville MA 02144",Broadway,start
"726 Broadway, Somerville MA 02144",Broadway,end
"107 Cedar Street, Somerville MA 02144",Cedar Street,start
"298 Cedar Street, Somerville MA 02144",Cedar Street,end
"1 Clifton Street, Somerville MA 02144",Clifton Street,start
"14 Clifton Street, Somerville MA 02144",Clifton Street,end
"2 Clyde Street, Somerville MA 02145",Clyde Street,start
"56 Clyde Street, Somerville MA 02145",Clyde Street,end
"1 College Avenue, Somerville MA 02144",College Avenue,start
"143 College Avenue, Somerville MA 02144",College Avenue,end
"1 Elm Court, Somerville MA 02144",Elm Court,start
"6 Elm Court, Somerville MA 02144",Elm Court,end
"16 Ellington Road, Somerville MA 02144",Ellington Road,start
"32 Ellington Road, Somerville MA 02144",Ellington Road,end
"4 Foskett Street, Somerville MA 02145",Foskett Street,start
"52 Foskett Street, Somerville MA 02145",Foskett Street,end
"7 Francesca Avenue, Somerville MA 02144",Francesca Avenue,start
"58 Francesca Avenue, Somerville MA 02144",Francesca Avenue,end
"45 Grove Street, Somerville MA 02144",Grove Street,start
"65 Grove Street, Somerville MA 02144",Grove Street,end
"5 Hall Avenue, Somerville MA 02144",Hall Avenue,start
"73 Hall Avenue, Somerville MA 02144",Hall Avenue,end
"219 Highland Avenue, Somerville MA 02144",Highland Avenue,start
"407 Highland Avenue, Somerville MA 02144",Highland Avenue,end
"2 Highland Road, Somerville MA 02144",Highland Road,start
"140 Highland Road, Somerville MA 02144",Highland Road,end
"9 Josephine Avenue, Somerville MA 02144",Josephine Avenue,start
"134 Josephine Avenue, Somerville MA 02144",Josephine Avenue,end
"93 Kidder Avenue, Somerville MA 02144",Kidder Avenue,start
"157 Kidder Avenue, Somerville MA 02144",Kidder Avenue,end
"6 Liberty Avenue, Somerville MA 02144",Liberty Avenue,start
"125 Liberty Avenue, Somerville MA 02144",Liberty Avenue,end
"121 Liberty Road, Somerville MA 02144",Liberty Road,start
"130 Liberty Road, Somerville MA 02144",Liberty Road,end
"5 Lowden Avenue, Somerville MA 02144",Lowden Avenue,start
"93 Lowden Avenue, Somerville MA 02144",Lowden Avenue,end
"9 Mallet Street, Somerville MA 02144",Mallet Street,start
"9 Mallet Street, Somerville MA 02144",Mallet Street,end
"Maxwell's Green, Somerville MA 02144",Maxwell's Green,start
"Maxwell's Green, Somerville MA 02144",Maxwell's Green,end
"2 Morrison Avenue, Somerville MA 02144",Morrison Avenue,start
"232 Morrison Avenue, Somerville MA 02144",Morrison Avenue,end
"5 Morrison Place, Somerville MA 02144",Morrison Place,start
"8 Morrison Place, Somerville MA 02144",Morrison Place,end
"9 Murdock Street, Somerville MA 02145",Murdock Street,start
"65 Murdock Street, Somerville MA 02145",Murdock Street,end
"4 Newman Place, Somerville MA 02145",Newman Place,start
"8 Newman Place, Somerville MA 02145",Newman Place,end
"2 Pearson Avenue, Somerville MA 02144",Pearson Avenue,start
"116 Pearson Avenue, Somerville MA 02144",Pearson Avenue,end
"1 Pearson Road, Somerville MA 02144",Pearson Road,start
"39 Pearson Road, Somerville MA 02144",Pearson Road,end
"1 Powder House Terrace, Somerville MA 02144",Powder House Terrace,start
"39 Powder House Terrace, Somerville MA 02144",Powder House Terrace,end
"5 Prichard Avenue, Somerville MA 02144",Prichard Avenue,start
"100 Prichard Avenue, Somerville MA 02144",Prichard Avenue,end
"4 Princeton Street, Somerville MA 02145",Princeton Street,start
"57 Princeton Street, Somerville MA 02145",Princeton Street,end
"2 Rogers Avenue, Somerville MA 02144",Rogers Avenue,start
"130 Rogers Avenue, Somerville MA 02144",Rogers Avenue,end
"10 Warwick Street, Somerville MA 02145",Warwick Street,start
"94 Warwick Street, Somerville MA 02145",Warwick Street,end
"130 Willow Avenue, Somerville MA 02144",Willow Avenue,start
"275 Willow Avenue, Somerville MA 02144",Willow Avenue,end
"5 Wilson Avenue, Somerville MA 02144",Wilson Avenue,start
"20 Wilson Avenue, Somerville MA 02144",Wilson Avenue,end
"11 Winslow Avenue, Somerville MA 02144",Winslow Avenue,start
"99 Winslow Avenue, Somerville MA 02144",Winslow Avenue,end
