address,street,num,school
"236 Beacon Street, Somerville MA",Beacon Street,236,KENNEDY
"264 Beacon Street, Somerville MA",Beacon Street,264,KENNEDY
"291 Beacon Street, Somerville MA",Beacon Street,291,KENNEDY
"319 Beacon Street, Somerville MA",Beacon Street,319,KENNEDY
"346 Beacon Street, Somerville MA",Beacon Street,346,KENNEDY
"374 Beacon Street, Somerville MA",Beacon Street,374,KENNEDY
"93 Hudson Street, Somerville MA",Hudson Street,93,KENNEDY
"116 Hudson Street, Somerville MA",Hudson Street,116,KENNEDY
"139 Hudson Street, Somerville MA",Hudson Street,139,KENNEDY
"162 Hudson Street, Somerville MA",Hudson Street,162,KENNEDY
"185 Hudson Street, Somerville MA",Hudson Street,185,KENNEDY
"583 Somerville Avenue, Somerville MA",Somerville Avenue,583,KENNEDY
"606 Somerville Avenue, Somerville MA",Somerville Avenue,606,KENNEDY
"629 Somerville Avenue, Somerville MA",Somerville Avenue,629,KENNEDY
"652 Somerville Avenue, Somerville MA",Somerville Avenue,652,KENNEDY
"675 Somerville Avenue, Somerville MA",Somerville Avenue,675,KENNEDY
"1 Lowell Street, Somerville MA",Lowell Street,1,KENNEDY
"48 Lowell Street, Somerville MA",Lowell Street,48,KENNEDY
"95 Lowell Street, Somerville MA",Lowell Street,95,KENNEDY
"141 Lowell Street, Somerville MA",Lowell Street,141,KENNEDY
"188 Lowell Street, Somerville MA",Lowell Street,188,KENNEDY
"235 Lowell Street, Somerville MA",Lowell Street,235,KENNEDY
