address,school,grades
"150 Glen Street, Somerville MA 02144",Capuano Early Childhood Center,PK-K
"290 Washington Street, Somerville MA 02143",Argenziano School,PK-8
"201 Willow Avenue, Somerville MA 02144",Brown School,K-5
"50 Cross Street, Somerville MA 02145",East Somerville Community School,K-8
"5 Meacham Street, Somerville MA 02145",Healey School,PK-8
"5 Cherry Street, Somerville MA 02144",Kennedy School,K-8
"177 Powder House Boulevard, Somerville MA 02144",West Somerville Neighborhood School,PK-8
"115 Sycamore Street, Somerville MA 02145",Winter Hill Community Innovation School,PK-8
"153 School Street, Somerville MA 02143",Next Wave/Full Circle,
"81 Highland Avenue, Somerville MA 02143",Somerville High School,
