address,school,grades,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"150 Glen Street, Somerville MA 02144","Capuano Early Childhood Center",PK-K,42.382492,-71.086729,1,rooftop,"150 Glen St",,"Somerville, MA 02145",,150,"Glen St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnfaebzk2ujwv9fkymnsr39fsaf9,building_centroid
"290 Washington Street, Somerville MA 02143","Argenziano School",PK-8,42.37903,-71.098674,1,rooftop,"290 Washington St",,"Somerville, MA 02143",,290,"Washington St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usng3yrlq9g3zhrdc4u6dvrabv4ed,building_centroid
"201 Willow Avenue, Somerville MA 02144","Brown School",K-5,42.397302,-71.11401,1,rooftop,"201 Willow Ave",,"Somerville, MA 02144",,201,"Willow Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnm9hv77dgkaxc4taph5fk6c3fu5,building_centroid
"50 Cross Street, Somerville MA 02145","East Somerville Community School",K-8,42.389744,-71.084723,1,range_interpolation,"50 Cross St E",,"Somerville, MA 02145",,50,"Cross St E",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usnvrvhg3x58lu6g3qh93q287yl6b,
"5 Meacham Street, Somerville MA 02145","Healey School",PK-8,42.39753,-71.09536,1,rooftop,"5 Meacham St",,"Somerville, MA 02145",,5,"Meacham St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn96w5gtg7b7pa8kszntu9guala3,building_centroid
"5 Cherry Street, Somerville MA 02144","Kennedy School",K-8,42.389388,-71.115523,1,rooftop,"5 Cherry St",,"Somerville, MA 02144",,5,"Cherry St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnln285dqfnl68bjne9qslujbl3g,building_centroid
"177 Powder House Boulevard, Somerville MA 02144","West Somerville Neighborhood School",PK-8,42.406166,-71.126467,1,rooftop,"177 Powder House Blvd",,"Somerville, MA 02144",,177,"Powder House Blvd",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnf365ke27npl35v6qpkyx2ra845,building_centroid
"115 Sycamore Street, Somerville MA 02145","Winter Hill Community Innovation School",PK-8,42.391667,-71.098797,1,rooftop,"115 Sycamore St",,"Somerville, MA 02145",,115,"Sycamore St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnx8bnq62pzz6pcl54k4vpbexreg,building_centroid
"153 School Street, Somerville MA 02143","Next Wave/Full Circle",,42.387091,-71.096279,1,rooftop,"153 School St",,"Somerville, MA 02143",,153,"School St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnlnde3fxmg38n7hjwthm97f2kk5,building_centroid
"81 Highland Avenue, Somerville MA 02143","Somerville High School",,42.386852,-71.096023,1,rooftop,"81 Highland Ave",,"Somerville, MA 02143",,81,"Highland Ave",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnws32ygrv3c6l88kvarah2lbnhe,building_centroid
